id	title	description	availability	condition	price	sale_price	link	image_link	brand	custom_label_0	custom_label_1	custom_label_2	custom_label_3
18524	Máy giặt Aqua Inverter 14kg AQW-DR140UHT(PS)	Máy giặt Aqua Inverter 14kg AQW-DR140UHT(PS) Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	19550000 VND	10900000 VND	http://localhost:51139/may-giat-aqua-inverter-14kg-aqw-dr140uht-ps/	https://bestprice.tuanson.info/upload/img/may-giat-aqua-inverter-14kg-aqw-dr140uht-ps.jpg	Aqua	Điện tử > Máy giặt	Điện tử - Máy giặt	Điện tử - Máy giặt_Aqua	Máy giặt
18523	Máy Làm Mát Không Khí Sunhouse Shd7777	MÁY LÀM MÁT KHÔNG KHÍ SUNHOUSE SHD7777 Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	4500000 VND	3390000 VND	http://localhost:51139/may-lam-mat-khong-khi-sunhouse-shd7777/	https://bestprice.tuanson.info/upload/img/may-lam-mat-khong-khi-sunhouse-shd7777.jpg	Sunhouse	Điện lạnh > Quạt Hơi Nước	Điện lạnh - Quạt Hơi Nước	Điện lạnh - Quạt Hơi Nước_Sunhouse	Quạt Hơi Nước
18522	Tủ Lạnh 4 Cửa Inverter RQ519N4EBU 427L	Tủ Lạnh 4 Cửa Inverter RQ519N4EBU 427L Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	19500000 VND	15990000 VND	http://localhost:51139/tu-lanh-4-cua-inverter-rq519n4ebu-427l/	https://bestprice.tuanson.info/upload/img/tu-lanh-4-cua-inverter-rq519n4ebu-427l.jpg	HISENSE	Điện lạnh > Tủ lạnh > Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )_HISENSE	Tủ lạnh Side by side ( Lớn hơn 450 lit )
18521	Tủ Lạnh Ngăn Đông Trên Inverter RT549N4EBU 424L	Tủ Lạnh Ngăn Đông Trên Inverter RT549N4EBU 424L Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	15200000 VND	9100000 VND	http://localhost:51139/tu-lanh-ngan-dong-tren-inverter-rt549n4ebu-424l/	https://bestprice.tuanson.info/upload/img/tu-lanh-ngan-dong-tren-inverter-rt549n4ebu-424l.jpg	HISENSE	Điện lạnh > Tủ lạnh > Tủ lạnh từ 400 đến 500 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 400 đến 500 lít	Điện lạnh - Tủ lạnh - Tủ lạnh từ 400 đến 500 lít_HISENSE	Tủ lạnh từ 400 đến 500 lít
18520	Tủ Lạnh Side By Side Inverter RS668N4EW-PU	Tủ Lạnh Side By Side Inverter RS668N4EW-PU Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	22000000 VND	13500000 VND	http://localhost:51139/tu-lanh-side-by-side-inverter-rs668n4ew-pu/	https://bestprice.tuanson.info/upload/img/tu-lanh-side-by-side-inverter-rs668n4ew-pu.png	HISENSE	Điện lạnh > Tủ lạnh > Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )_HISENSE	Tủ lạnh Side by side ( Lớn hơn 450 lit )
18519	Tủ Lạnh 4 Cửa Inverter RQ768N4EW-KU 609L	Tủ Lạnh 4 Cửa Inverter RQ768N4EW-KU 609L Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	30000000 VND	23550000 VND	http://localhost:51139/tu-lanh-4-cua-inverter-rq768n4ew-ku-609l/	https://bestprice.tuanson.info/upload/img/tu-lanh-4-cua-inverter-rq768n4ew-ku-609l.jpg	HISENSE	Điện lạnh > Tủ lạnh > Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )	Điện lạnh - Tủ lạnh - Tủ lạnh Side by side ( Lớn hơn 450 lit )_HISENSE	Tủ lạnh Side by side ( Lớn hơn 450 lit )
18518	Tủ lạnh Aqua Inverter 347 lít AQR-T390FA(WGM)	Tủ lạnh Aqua Inverter 347 lít AQR-T390FA(WGM) Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	13000000 VND	9750000 VND	http://localhost:51139/tu-lanh-aqua-inverter-347-lit-aqr-t390fa-wgm/	https://bestprice.tuanson.info/upload/img/tu-lanh-aqua-inverter-347-lit-aqr-t390fa-wgm.jpg	Aqua	Điện lạnh > Tủ lạnh	Điện lạnh - Tủ lạnh	Điện lạnh - Tủ lạnh_Aqua	Tủ lạnh
18517	Tủ Lạnh Aqua Inverter 283 Lít AQR-T299FA(SL)	Tủ Lạnh Aqua Inverter 283 Lít AQR-T299FA(SL) Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	8000000 VND	5950000 VND	http://localhost:51139/tu-lanh-aqua-inverter-283-lit-aqr-t299fa-sl/	https://bestprice.tuanson.info/upload/img/tu-lanh-aqua-inverter-283-lit-aqr-t299fa-sl.jpg	Aqua	Điện lạnh > Tủ lạnh	Điện lạnh - Tủ lạnh	Điện lạnh - Tủ lạnh_Aqua	Tủ lạnh
18516	Quạt Đứng Lv16-rb	QUẠT ĐỨNG LV16-RB Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	2950000 VND	1990000 VND	http://localhost:51139/quat-dung-lv16-rb/	https://bestprice.tuanson.info/upload/img/quat-dung-lv16-rb.png	MITSUBISHI	Điện lạnh > Quạt	Điện lạnh - Quạt	Điện lạnh - Quạt_MITSUBISHI	Quạt
18515	Bộ Lau Nhà Tách Nước Bẩnn  Eonwon EW-4311	Bộ Lau Nhà Tách Nước Bẩnn  Eonwon EW-4311 Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	850000 VND	490000 VND	http://localhost:51139/bo-lau-nha-tach-nuoc-bann-eonwon-ew-4311/	https://bestprice.tuanson.info/upload/img/bo-lau-nha-tach-nuoc-ban-eonwon-ew-4311_9294.png	CLEPRO	Đồ Điện Gia Đình > Máy Lau Sàn	Đồ Điện Gia Đình - Máy Lau Sàn	Đồ Điện Gia Đình - Máy Lau Sàn_CLEPRO	Máy Lau Sàn
18513	Máy Làm Sữa Hạt Eonwon EW-4412	Máy Làm Sữa Hạt Eonwon EW-4412 Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	1850000 VND	1020000 VND	http://localhost:51139/may-lam-sua-hat-eonwon-ew-4412/	https://bestprice.tuanson.info/upload/img/may-lam-sua-hat-eonwon-ew-4412.png	Bosch	Đồ dùng nhà bếp > Dụng cụ làm bếp v.v	Đồ dùng nhà bếp - Dụng cụ làm bếp v.v	Đồ dùng nhà bếp - Dụng cụ làm bếp v.v_Bosch	Dụng cụ làm bếp v.v
18512	Nồi áp suất điện Supor CYYB50YA10VN-100 5 lít	Nồi áp suất điện Supor CYYB50YA10VN-100 5 lít Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	2200000 VND	1450000 VND	http://localhost:51139/noi-ap-suat-dien-supor-cyyb50ya10vn-100-5-lit/	https://bestprice.tuanson.info/upload/img/noi-ap-suat-dien-supor-cyyb50ya10vn-100-5-lit.png	SUPOR	Đồ dùng nhà bếp > Nồi áp suất	Đồ dùng nhà bếp - Nồi áp suất	Đồ dùng nhà bếp - Nồi áp suất_SUPOR	Nồi áp suất
18511	Lẩu điện Supor H30FK802VN-136 1360W	Lẩu điện Supor H30FK802VN-136 1360W Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	900000 VND	720000 VND	http://localhost:51139/lau-dien-supor-h30fk802vn-136-1360w/	https://bestprice.tuanson.info/upload/img/lau-dien-supor-h30fk802vn-136-1360w.png	SUPOR	Đồ dùng nhà bếp > Lẩu điện	Đồ dùng nhà bếp - Lẩu điện	Đồ dùng nhà bếp - Lẩu điện_SUPOR	Lẩu điện
18510	Lẩu điện Supor HFK26EVN-130 1300W	Lẩu điện Supor HFK26EVN-130 1300W Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	800000 VND	590000 VND	http://localhost:51139/lau-dien-supor-hfk26evn-130-1300w/	https://bestprice.tuanson.info/upload/img/lau-dien-supor-hfk26evn-130-1300w.png	SUPOR	Đồ dùng nhà bếp > Lẩu điện	Đồ dùng nhà bếp - Lẩu điện	Đồ dùng nhà bếp - Lẩu điện_SUPOR	Lẩu điện
18500	Máy lạnh treo tường Airwell Inverter AW-24ID-1	Máy lạnh treo tường Airwell Inverter AW-24ID-1 Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	20000000 VND	14200000 VND	http://localhost:51139/may-lanh-treo-tuong-airwell-inverter-aw-24id-1/	https://bestprice.tuanson.info/upload/img/may-lanh-treo-tuong-airwell-inverter-aw-24id-1.jpg	AIRWELL	Điện lạnh > Máy lạnh	Điện lạnh - Máy lạnh	Điện lạnh - Máy lạnh_AIRWELL	Máy lạnh
18499	Máy lạnh treo tường Airwell Inverter AW-18ID-1	Máy lạnh treo tường Airwell Inverter AW-18ID-1 Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	16000000 VND	11800000 VND	http://localhost:51139/may-lanh-treo-tuong-airwell-inverter-aw-18id-1/	https://bestprice.tuanson.info/upload/img/may-lanh-treo-tuong-airwell-inverter-aw-18id-1.jpg	AIRWELL	Điện lạnh > Máy lạnh	Điện lạnh - Máy lạnh	Điện lạnh - Máy lạnh_AIRWELL	Máy lạnh
18498	Máy lạnh treo tường Airwell Inverter AW-13ID-1	Máy lạnh treo tường Airwell Inverter AW-13ID-1 Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	9000000 VND	7350000 VND	http://localhost:51139/may-lanh-treo-tuong-airwell-inverter-aw-13id-1/	https://bestprice.tuanson.info/upload/img/may-lanh-treo-tuong-airwell-inverter-aw-13id-1.jpg	Máy lạnh	Điện lạnh > Máy lạnh	Điện lạnh - Máy lạnh	Điện lạnh - Máy lạnh_Máy lạnh	Máy lạnh
18497	Máy lạnh treo tường Airwell Inverter AW-10ID-1	Máy lạnh treo tường Airwell Inverter AW-10ID-1 Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	8500000 VND	6399000 VND	http://localhost:51139/may-lanh-treo-tuong-airwell-inverter-aw-10id-1/	https://bestprice.tuanson.info/upload/img/may-lanh-treo-tuong-airwell-inverter-aw-10id-1.jpg	AIRWELL	Điện lạnh > Máy lạnh	Điện lạnh - Máy lạnh	Điện lạnh - Máy lạnh_AIRWELL	Máy lạnh
18496	Nồi Cơm Điện Supor Cfxb16yb3vn-36 0.8l	NỒI CƠM ĐIỆN SUPOR CFXB16YB3VN-36 0.8L Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	1200000 VND	750000 VND	http://localhost:51139/noi-com-dien-supor-cfxb16yb3vn-36-0-8l/	https://bestprice.tuanson.info/upload/img/noi-com-dien-supor-cfxb16yb3vn-36-0-8l.png	SUPOR	Đồ dùng nhà bếp > Nồi cơm điện	Đồ dùng nhà bếp - Nồi cơm điện	Đồ dùng nhà bếp - Nồi cơm điện_SUPOR	Nồi cơm điện
18495	Nồi Cơm Điện Spherical Supor Cfxb50yb13vn-rd-50	NỒI CƠM ĐIỆN SPHERICAL SUPOR CFXB50YB13VN-RD-50 Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	1500000 VND	980000 VND	http://localhost:51139/noi-com-dien-spherical-supor-cfxb50yb13vn-rd-50/	https://bestprice.tuanson.info/upload/img/noi-com-dien-spherical-supor-cfxb50yb13vn-rd-50.png	SUPOR	Đồ dùng nhà bếp > Nồi cơm điện	Đồ dùng nhà bếp - Nồi cơm điện	Đồ dùng nhà bếp - Nồi cơm điện_SUPOR	Nồi cơm điện
18494	Nồi Cơm Điện Spherical Supor Cfxb50yb13vn-50	NỒI CƠM ĐIỆN SPHERICAL SUPOR CFXB50YB13VN-50 Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	1400000 VND	950000 VND	http://localhost:51139/noi-com-dien-spherical-supor-cfxb50yb13vn-50/	https://bestprice.tuanson.info/upload/img/noi-com-dien-spherical-supor-cfxb50yb13vn-50.png	SUPOR	Đồ dùng nhà bếp > Nồi cơm điện	Đồ dùng nhà bếp - Nồi cơm điện	Đồ dùng nhà bếp - Nồi cơm điện_SUPOR	Nồi cơm điện
18493	Nồi cơm niêu điện tử Supor CFXB50FC33VN-75 1,8 lít	Nồi cơm niêu điện tử Supor CFXB50FC33VN-75 1,8 lít Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	2000000 VND	1200000 VND	http://localhost:51139/noi-com-nieu-dien-tu-supor-cfxb50fc33vn-75-1-8-lit/	https://bestprice.tuanson.info/upload/img/noi-com-nieu-dien-tu-supor-cfxb50fc33vn-75-1-8-lit.png	SUPOR	Đồ dùng nhà bếp > Nồi cơm điện	Đồ dùng nhà bếp - Nồi cơm điện	Đồ dùng nhà bếp - Nồi cơm điện_SUPOR	Nồi cơm điện
18492	Bếp điện từ đơn Supor SDHCB11TVN-GR-210 - Hàng chính hãng	Bếp điện từ đơn Supor SDHCB11TVN-GR-210 - Hàng chính hãng Điện máy BestPrice, điện máy giá tốt nhất	in stock	new	1850000 VND	1100000 VND	http://localhost:51139/bep-dien-tu-don-supor-sdhcb11tvn-gr-210-hang-chinh-hang/	https://bestprice.tuanson.info/upload/img/bep-dien-tu-don-supor-sdhcb11tvn-gr-210-hang-chinh-hang.jpg	SUPOR	Đồ dùng nhà bếp > Bếp từ	Đồ dùng nhà bếp - Bếp từ	Đồ dùng nhà bếp - Bếp từ_SUPOR	Bếp từ
